UNIT_ID,SITE_NAME,TripAdvisor,Yelp,Foursquare,Facebook,Wikipedia,Factual id,DISTRICT,PUBLIC_ACC
S00223,Econfina River State Park,https://www.tripadvisor.com/Attraction_Review-g34375-d12172166-Reviews-Econfina_River_State_Park-Lamont_Florida.html,,https://foursquare.com/v/4d2881ba3c79548137cbce9b,https://www.facebook.com/pages/Econfina-River-State-Park/103724919666802,https://en.wikipedia.org/wiki/Econfina_River_State_Park,03735ac9-93af-4b86-b365-b578aa810445,1,Open-Fee Required
S00020,Eden Gardens State Park,https://www.tripadvisor.com/Attraction_Review-g34568-d272859-Reviews-Eden_Gardens_State_Park-Point_Washington_Florida.html,https://www.yelp.com/biz/eden-gardens-state-park-santa-rosa-beach,https://foursquare.com/v/eden-gardens-state-park/4c02c438187ec928d0b5b47b,https://www.facebook.com/pages/Eden-Gardens-State-Park/103695753002557,https://en.wikipedia.org/wiki/Eden_Gardens_State_Park,335ec938-79e9-4b47-a443-09ae3ead2fde,1,Open-Fee Required
S00204,Edward Ball Wakulla Springs State Park,https://www.tripadvisor.com/Attraction_Review-g34713-d6485983-Reviews-Edward_Ball_Wakulla_Springs_State_Park-Wakulla_Springs_Florida.html,https://www.yelp.com/biz/edward-ball-wakulla-springs-state-park-and-lodge-wakulla-springs,https://foursquare.com/v/4b5cb1edf964a520f43e29e3,https://www.facebook.com/1440347339538501,https://en.wikipedia.org/wiki/Edward_Ball_Wakulla_Springs_State_Park,3334a7d7-8b7d-4a2d-8349-2de0096b43c3,1,Open-Fee Required
S00222,Egmont Key State Park,https://www.tripadvisor.com/Attraction_Review-g28930-d126538-Reviews-Egmont_Key_State_Park-Florida.html,https://www.yelp.com/biz/egmont-key-state-park-st-petersburg,https://foursquare.com/v/egmont-key-state-park/4ce84ebbe888f04ddb9b416b,https://www.facebook.com/104063009630702,https://en.wikipedia.org/wiki/Egmont_Key_State_Park_and_National_Wildlife_Refuge,f5e861cf-36e6-4f9c-aef4-52206514a7a0,4,Open-No Fee Required
S00218,Ellie Schiller Homosassa Springs Wildlife State Park,https://www.tripadvisor.com/Attraction_Review-g34301-d130408-Reviews-Ellie_Schiller_Homosassa_Springs_Wildlife_State_Park-Homosassa_Springs_Florida.html,https://www.yelp.com/biz/homosassa-springs-state-wildlife-park-homosassa,https://foursquare.com/v/4bbbd55c51b89c747fcb862a,https://www.facebook.com/112877472060151,https://en.wikipedia.org/wiki/Homosassa_Springs_Wildlife_State_Park,186da18a-70a3-4d63-8266-157e8335d221,2,Open-Fee Required
S00030,Estero Bay Preserve State Park,,https://www.yelp.com/biz/estero-bay-preserve-state-park-fort-myers,https://foursquare.com/v/4d979e780caaa143230798b3,https://www.facebook.com/157731874286514,https://en.wikipedia.org/wiki/Estero_Bay_Preserve_State_Park,01e9abb5-ef1d-4880-83ef-d09d7bde02aa,4,Open-No Fee Required
S00114,Fakahatchee Strand Preserve State Park,https://www.tripadvisor.com/Attraction_Review-g34151-d527176-Reviews-Fakahatchee_Strand_Preserve_State_Park_Boardwalk-Copeland_Florida.html,https://www.yelp.com/biz/fakahatchee-strand-preserve-state-park-copeland,https://foursquare.com/v/fakahatchee-strand/4d9a206fd97ba14365e6316b,https://www.facebook.com/pages/Fakahatchee-Strand-Preserve-State-Park/113530335324108,https://en.wikipedia.org/wiki/Fakahatchee_Strand_Preserve_State_Park,4bf0f82e-4e64-4614-a432-0ded76a4303b,4,Open-Fee Required
S00021,Falling Waters State Park,https://www.tripadvisor.com/Attraction_Review-g34132-d1155476-Reviews-Falling_Waters_State_Park-Chipley_Florida.html,https://www.yelp.com/biz/falling-waters-state-park-chipley?osq=Falling+Waters+State+Park,https://foursquare.com/v/falling-waters-state-park/4b96a455f964a520dada34e3,https://www.facebook.com/145558405473225,https://en.wikipedia.org/wiki/Falling_Waters_State_Park,2a1786b8-cc20-4320-80ee-87f70d116b3f,1,Open-Fee Required
S00241,Fanning Springs State Park,https://www.tripadvisor.com/Attraction_Review-g2333156-d601055-Reviews-Fanning_Springs_State_Park-Fanning_Springs_Florida.html,https://www.yelp.com/biz/fanning-springs-state-park-fanning-springs?osq=Fanning+Springs+State+Park,https://foursquare.com/v/fanning-springs-state-park/4ced728b3b03f04dc25634dc,https://www.facebook.com/113414098672497,https://en.wikipedia.org/wiki/Fanning_Springs_State_Park,02ef01b8-8607-4b51-9bfa-cb9f4b6ec6a1,2,Open-Fee Required
S00022,Faver-Dykes State Park,https://www.tripadvisor.com/Attraction_Review-g34599-d561310-Reviews-Faver_Dykes_State_Park-St_Augustine_Florida.html,https://www.yelp.com/biz/faver-dykes-state-park-st-augustine,https://foursquare.com/v/faverdykes-state-park/4c20e2194d4a20a1be6b9b70,https://www.facebook.com/484052331654115,https://en.wikipedia.org/wiki/Faver-Dykes_State_Park,38f4fd5d-5c92-4424-818b-ef76700ef9e8,3,Open-Fee Required
S00023,Fernandina Plaza Historic State Park,,,,,,,2,Open-No Fee Required
